<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусГидро;D;27/06/23;000000;0.8422;0.8535;0.838;0.8521;64434000;0
РусГидро;D;28/06/23;000000;0.8526;0.8637;0.8492;0.8583;85416000;0
РусГидро;D;29/06/23;000000;0.8613;0.8614;0.8513;0.8582;71874000;0
РусГидро;D;30/06/23;000000;0.8585;0.8698;0.8573;0.8632;184708000;0
РусГидро;D;01/07/23;000000;0.8632;0.8632;0.8632;0.8632;0;0
РусГидро;D;02/07/23;000000;0.8632;0.8632;0.8632;0.8632;0;0
РусГидро;D;03/07/23;000000;0.8661;0.8667;0.8539;0.8563;116655000;0
РусГидро;D;04/07/23;000000;0.8526;0.8581;0.8441;0.8508;108176000;0
РусГидро;D;05/07/23;000000;0.8508;0.851;0.8429;0.8491;98272000;0
РусГидро;D;06/07/23;000000;0.847;0.8512;0.8372;0.84;141271000;0
РусГидро;D;07/07/23;000000;0.8311;0.8423;0.8282;0.841;260896000;0
РусГидро;D;08/07/23;000000;0.841;0.841;0.841;0.841;0;0
РусГидро;D;09/07/23;000000;0.841;0.841;0.841;0.841;0;0
РусГидро;D;10/07/23;000000;0.809;0.8345;0.8025;0.8337;340259000;0
РусГидро;D;11/07/23;000000;0.8349;0.8416;0.824;0.8293;134322000;0
РусГидро;D;12/07/23;000000;0.8267;0.8298;0.825;0.829;92838000;0
РусГидро;D;13/07/23;000000;0.829;0.8318;0.826;0.8277;76959000;0
РусГидро;D;14/07/23;000000;0.829;0.8308;0.8251;0.8286;53601000;0
РусГидро;D;15/07/23;000000;0.8286;0.8286;0.8286;0.8286;0;0
РусГидро;D;16/07/23;000000;0.8286;0.8286;0.8286;0.8286;0;0
РусГидро;D;17/07/23;000000;0.826;0.8361;0.8252;0.833;108258000;0
РусГидро;D;18/07/23;000000;0.833;0.8461;0.8318;0.8437;167608000;0
РусГидро;D;19/07/23;000000;0.849;0.8497;0.84;0.8478;117429000;0
РусГидро;D;20/07/23;000000;0.848;0.8483;0.8251;0.8289;138696000;0
РусГидро;D;21/07/23;000000;0.826;0.843;0.826;0.8398;63961000;0
РусГидро;D;22/07/23;000000;0.8398;0.8398;0.8398;0.8398;0;0
РусГидро;D;23/07/23;000000;0.8398;0.8398;0.8398;0.8398;0;0
РусГидро;D;24/07/23;000000;0.843;0.8554;0.8415;0.8467;250319000;0
РусГидро;D;25/07/23;000000;0.847;0.848;0.8382;0.8426;201467000;0
РусГидро;D;26/07/23;000000;0.844;0.8443;0.8333;0.8413;97619000;0
РусГидро;D;27/07/23;000000;0.8413;0.8495;0.8393;0.8423;145844000;0
РусГидро;D;28/07/23;000000;0.844;0.8459;0.8371;0.8392;100488000;0
РусГидро;D;29/07/23;000000;0.8392;0.8392;0.8392;0.8392;0;0
РусГидро;D;30/07/23;000000;0.8392;0.8392;0.8392;0.8392;0;0
РусГидро;D;31/07/23;000000;0.8411;0.87;0.839;0.8698;465176000;0
РусГидро;D;01/08/23;000000;0.8706;0.8782;0.8519;0.861;376394000;0
РусГидро;D;02/08/23;000000;0.8612;0.8625;0.8502;0.8541;217018000;0
РусГидро;D;03/08/23;000000;0.856;0.9691;0.8441;0.9548;3100264000;0
РусГидро;D;04/08/23;000000;0.9603;0.9738;0.8948;0.9099;1432927000;0
РусГидро;D;05/08/23;000000;0.9099;0.9099;0.9099;0.9099;0;0
РусГидро;D;06/08/23;000000;0.9099;0.9099;0.9099;0.9099;0;0
РусГидро;D;07/08/23;000000;0.9163;0.9391;0.8871;0.8904;603607000;0
РусГидро;D;08/08/23;000000;0.891;0.8921;0.8611;0.8837;418906000;0
РусГидро;D;09/08/23;000000;0.888;0.9128;0.885;0.8937;458858000;0
РусГидро;D;10/08/23;000000;0.8951;0.9137;0.8884;0.9009;345812000;0
РусГидро;D;11/08/23;000000;0.9009;0.92;0.89;0.9184;501082000;0
РусГидро;D;12/08/23;000000;0.9184;0.9184;0.9184;0.9184;0;0
РусГидро;D;13/08/23;000000;0.9184;0.9184;0.9184;0.9184;0;0
РусГидро;D;14/08/23;000000;0.9348;0.9597;0.902;0.9077;1317879000;0
РусГидро;D;15/08/23;000000;0.9021;0.9179;0.875;0.88;574496000;0
РусГидро;D;16/08/23;000000;0.8834;0.9196;0.8604;0.8843;816690000;0
РусГидро;D;17/08/23;000000;0.887;0.8944;0.869;0.8871;231605000;0
РусГидро;D;18/08/23;000000;0.8871;0.8944;0.88;0.8922;203996000;0
РусГидро;D;19/08/23;000000;0.8922;0.8922;0.8922;0.8922;0;0
РусГидро;D;20/08/23;000000;0.8922;0.8922;0.8922;0.8922;0;0
РусГидро;D;21/08/23;000000;0.9;0.9131;0.8929;0.9037;310787000;0
РусГидро;D;22/08/23;000000;0.904;0.9074;0.8902;0.9003;184528000;0
РусГидро;D;23/08/23;000000;0.9049;0.9049;0.875;0.8783;213674000;0
РусГидро;D;24/08/23;000000;0.8848;0.8989;0.88;0.8901;161134000;0
РусГидро;D;25/08/23;000000;0.8901;0.8984;0.8877;0.8931;162161000;0
РусГидро;D;26/08/23;000000;0.8931;0.8931;0.8931;0.8931;0;0
РусГидро;D;27/08/23;000000;0.8931;0.8931;0.8931;0.8931;0;0
РусГидро;D;28/08/23;000000;0.8912;0.9261;0.8912;0.9258;289539000;0
РусГидро;D;29/08/23;000000;0.9258;0.9465;0.9059;0.9151;835118000;0
РусГидро;D;30/08/23;000000;0.918;0.94;0.9;0.9396;722991000;0
РусГидро;D;31/08/23;000000;0.9446;0.9966;0.9292;0.9917;2433387000;0
РусГидро;D;01/09/23;000000;0.9985;1.0037;0.97;0.9879;1421373000;0
РусГидро;D;02/09/23;000000;0.9879;0.9879;0.9879;0.9879;0;0
РусГидро;D;03/09/23;000000;0.9879;0.9879;0.9879;0.9879;0;0
РусГидро;D;04/09/23;000000;0.9957;1.0344;0.9776;1.0257;1946563000;0
РусГидро;D;05/09/23;000000;1.028;1.04;1.0013;1.0278;1320070000;0
РусГидро;D;06/09/23;000000;1.027;1.0272;0.995;1;707345000;0
РусГидро;D;07/09/23;000000;1.005;1.0051;0.94;0.9617;1298993000;0
РусГидро;D;08/09/23;000000;0.9627;0.9828;0.9401;0.9577;1041698000;0
РусГидро;D;09/09/23;000000;0.9577;0.9577;0.9577;0.9577;0;0
РусГидро;D;10/09/23;000000;0.9577;0.9577;0.9577;0.9577;0;0
РусГидро;D;11/09/23;000000;0.9437;0.9684;0.9211;0.9238;498307000;0
РусГидро;D;12/09/23;000000;0.9302;0.9579;0.9294;0.951;600992000;0
РусГидро;D;13/09/23;000000;0.953;0.953;0.9218;0.925;299044000;0
РусГидро;D;14/09/23;000000;0.9266;0.9284;0.8654;0.8939;745995000;0
РусГидро;D;15/09/23;000000;0.893;0.9182;0.885;0.9118;334912000;0
РусГидро;D;16/09/23;000000;0.9118;0.9118;0.9118;0.9118;0;0
РусГидро;D;17/09/23;000000;0.9118;0.9118;0.9118;0.9118;0;0
РусГидро;D;18/09/23;000000;0.914;0.9257;0.8894;0.8956;311479000;0
РусГидро;D;19/09/23;000000;0.896;0.8969;0.8432;0.8489;732053000;0
РусГидро;D;20/09/23;000000;0.8491;0.8565;0.82;0.8432;673332000;0
РусГидро;D;21/09/23;000000;0.8468;0.8482;0.8279;0.8374;289206000;0
РусГидро;D;22/09/23;000000;0.838;0.8563;0.8276;0.8505;316527000;0
РусГидро;D;23/09/23;000000;0.8505;0.8505;0.8505;0.8505;0;0
РусГидро;D;24/09/23;000000;0.8505;0.8505;0.8505;0.8505;0;0
РусГидро;D;25/09/23;000000;0.8583;0.8857;0.848;0.8781;517359000;0
РусГидро;D;26/09/23;000000;0.878;0.878;0.866;0.8694;212634000;0
РусГидро;D;27/09/23;000000;0.869;0.8917;0.869;0.8876;371380000;0
РусГидро;D;28/09/23;000000;0.888;0.898;0.8782;0.8836;307215000;0
РусГидро;D;29/09/23;000000;0.886;0.886;0.871;0.8734;211381000;0
РусГидро;D;30/09/23;000000;0.8734;0.8734;0.8734;0.8734;0;0
РусГидро;D;01/10/23;000000;0.8734;0.8734;0.8734;0.8734;0;0
РусГидро;D;02/10/23;000000;0.8757;0.8789;0.8472;0.8526;642484000;0
РусГидро;D;03/10/23;000000;0.8555;0.8555;0.828;0.8334;648839000;0
РусГидро;D;04/10/23;000000;0.8334;0.8478;0.8334;0.8365;373702000;0
РусГидро;D;05/10/23;000000;0.838;0.8413;0.83;0.8346;230885000;0
РусГидро;D;06/10/23;000000;0.837;0.8389;0.8212;0.8364;387465000;0
РусГидро;D;07/10/23;000000;0.8364;0.8364;0.8364;0.8364;0;0
РусГидро;D;08/10/23;000000;0.8364;0.8364;0.8364;0.8364;0;0
РусГидро;D;09/10/23;000000;0.8389;0.858;0.8352;0.8535;370149000;0
РусГидро;D;10/10/23;000000;0.8535;0.8599;0.846;0.858;258408000;0
РусГидро;D;11/10/23;000000;0.8594;0.865;0.8311;0.8376;459258000;0
РусГидро;D;12/10/23;000000;0.8296;0.8468;0.8296;0.8387;222158000;0
РусГидро;D;13/10/23;000000;0.8397;0.8445;0.838;0.8394;126408000;0
РусГидро;D;14/10/23;000000;0.8394;0.8394;0.8394;0.8394;0;0
РусГидро;D;15/10/23;000000;0.8394;0.8394;0.8394;0.8394;0;0
РусГидро;D;16/10/23;000000;0.8445;0.8742;0.8375;0.8705;481949000;0
РусГидро;D;17/10/23;000000;0.87;0.87;0.8562;0.8607;349045000;0
РусГидро;D;18/10/23;000000;0.8609;0.8659;0.8482;0.8586;194018000;0
РусГидро;D;19/10/23;000000;0.859;0.87;0.8481;0.8651;310467000;0
